,categories,id,location,name
0,"[{'id': '58daa1558bbb0b01f18ec1cd', 'name': 'Lebanese Restaurant', 'pluralName': 'Lebanese Restaurants', 'shortName': 'Lebanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}, 'primary': True}]",4e393ba252b11b0b4a9df0af,"{'address': '65 Fernhead Rd', 'lat': 51.52823298225565, 'lng': -0.2012283200881071, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52823298225565, 'lng': -0.2012283200881071}], 'distance': 172, 'postalCode': 'W9 3EY', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['65 Fernhead Rd', 'London', 'Greater London', 'W9 3EY', 'United Kingdom']}",The Cedar
1,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",4f3f8c66e4b059e3cc089b79,"{'address': '2 Fernhead Rd', 'lat': 51.52447333079391, 'lng': -0.20127891479881466, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52447333079391, 'lng': -0.20127891479881466}], 'distance': 325, 'postalCode': 'W9 3ET', 'cc': 'GB', 'city': ""St John's Wood"", 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['2 Fernhead Rd', ""St John's Wood"", 'Greater London', 'W9 3ET', 'United Kingdom']}",Maida Hill Cafe Gallery
2,"[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",4bf670565e800f471648e7d4,"{'lat': 51.526138, 'lng': -0.197249, 'labeledLatLngs': [{'label': 'display', 'lat': 51.526138, 'lng': -0.197249}], 'distance': 188, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",Tamplin Mews
3,"[{'id': '52f2ab2ebcbc57f1066b8b4f', 'name': 'Bus Stop', 'pluralName': 'Bus Stops', 'shortName': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}, 'primary': True}]",4c30833c16adc9280b3cbf9c,"{'address': 'Elgin avenue', 'lat': 51.52523563212426, 'lng': -0.19799028010906294, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52523563212426, 'lng': -0.19799028010906294}], 'distance': 236, 'cc': 'GB', 'city': 'Paddington', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Elgin avenue', 'Paddington', 'Greater London', 'United Kingdom']}",Elgin Avenue bus stop
4,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",4d811dcc551ea1cd555127c5,"{'address': 'Shirland road', 'crossStreet': 'Saltram crescent', 'lat': 51.52792368328254, 'lng': -0.19798785988061662, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52792368328254, 'lng': -0.19798785988061662}], 'distance': 131, 'cc': 'GB', 'city': 'Paddington', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Shirland road (Saltram crescent)', 'Paddington', 'Greater London', 'United Kingdom']}",The Coffee Tree
5,"[{'id': '4bf58dd8d48988d1c0941735', 'name': 'Mediterranean Restaurant', 'pluralName': 'Mediterranean Restaurants', 'shortName': 'Mediterranean', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}, 'primary': True}]",4dfa71841f6e2728c9f2ab80,"{'address': '99 Chippenham Rd', 'lat': 51.527728703273816, 'lng': -0.19694272234268165, 'labeledLatLngs': [{'label': 'display', 'lat': 51.527728703273816, 'lng': -0.19694272234268165}], 'distance': 183, 'postalCode': 'W 9 3', 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['99 Chippenham Rd', 'W 9 3', 'United Kingdom']}",Momtaz Shisha Cafe & Restaurant
6,"[{'id': '52f2ab2ebcbc57f1066b8b4f', 'name': 'Bus Stop', 'pluralName': 'Bus Stops', 'shortName': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}, 'primary': True}]",53956677498e94dc389855c6,"{'lat': 51.527379, 'lng': -0.197258, 'labeledLatLngs': [{'label': 'display', 'lat': 51.527379, 'lng': -0.197258}], 'distance': 152, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",Bus Stop MM
7,"[{'id': '4bf58dd8d48988d1cb941735', 'name': 'Food Truck', 'pluralName': 'Food Trucks', 'shortName': 'Food Truck', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/streetfood_', 'suffix': '.png'}, 'primary': True}]",526303ec11d282d54a14e3dd,"{'address': 'Maida Hill Place', 'lat': 51.52624242630582, 'lng': -0.19985081055242843, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52624242630582, 'lng': -0.19985081055242843}], 'distance': 106, 'postalCode': 'W9 3EU', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Maida Hill Place', 'London', 'Greater London', 'W9 3EU', 'United Kingdom']}",Donostia Social Club @ KERB W9
8,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",5123c4b8e4b007a521b4f81a,"{'lat': 51.52608736043163, 'lng': -0.19742747599027466, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52608736043163, 'lng': -0.19742747599027466}], 'distance': 182, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",51 Albert Road
9,"[{'id': '52f2ab2ebcbc57f1066b8b4f', 'name': 'Bus Stop', 'pluralName': 'Bus Stops', 'shortName': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}, 'primary': True}]",4f6f0f95e4b0e20e1630f408,"{'address': '289 Shirland Rd, London, Greater London W9 3JW', 'lat': 51.52823423329664, 'lng': -0.20000892723904862, 'labeledLatLngs': [{'label': 'display', 'lat': 51.52823423329664, 'lng': -0.20000892723904862}], 'distance': 126, 'postalCode': 'W9 3JW', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['289 Shirland Rd, London, Greater London W9 3JW', 'London', 'Greater London', 'W9 3JW', 'United Kingdom']}",Shirland Road / Fernhead Road (Stop MQ)
